ack,fixflo,0.008608 , 8.582563 , 0.00100296
ack,nothing,0.009918 , 6.013707 , 0.00164923
array1,fixflo,0.015918 , 2.358471 , 0.00674929
array1,nothing,0.018014 , 3.196892 , 0.00563485
boyer,fixflo,0.254639 , 4.583294 , 0.0555581
boyer,nothing,0.265072 , 4.542133 , 0.0583585
browse,fixflo,0.215763 , 4.054838 , 0.0532113
browse,nothing,0.22284 , 4.061110 , 0.0548717
cat,fixflo,0.007868 , 4.946297 , 0.00159068
cat,nothing,0.006988 , 4.833395 , 0.00144577
conform,fixflo,0.782168 , 5.196563 , 0.150516
conform,nothing,0.782181 , 5.240387 , 0.14926
cpstak,fixflo,0.030557 , 4.589092 , 0.00665862
cpstak,nothing,0.041063 , 4.825807 , 0.00850904
ctak,fixflo,0.023833 , 0.345692 , 0.0689429
ctak,nothing,0.027889 , 0.351666 , 0.0793054
dderiv,fixflo,0.048187 , 6.027641 , 0.00799434
dderiv,nothing,0.049539 , 5.822149 , 0.00850871
deriv,fixflo,0.024814 , 6.034836 , 0.00411179
deriv,nothing,0.022917 , 5.692931 , 0.00402552
destruc,fixflo,0.049257 , 5.506296 , 0.00894558
destruc,nothing,0.054668 , 5.545353 , 0.00985834
diviter,fixflo,0.008168 , 5.047300 , 0.00161829
diviter,nothing,0.010336 , 4.898050 , 0.00211023
divrec,fixflo,0.010259 , 5.780476 , 0.00177477
divrec,nothing,0.008945 , 5.605278 , 0.00159582
dynamic,fixflo,1.92305 , 4.404468 , 0.436613
earley,fixflo,0.82041 , 5.807694 , 0.141263
earley,nothing,0.822134 , 5.718387 , 0.14377
fft,fixflo,0.083936 , 4.592339 , 0.0182774
fft,nothing,0.112967 , 4.761915 , 0.023723
fib,fixflo,0.010552 , 5.130366 , 0.00205677
fib,nothing,0.011726 , 5.498607 , 0.00213254
fibc,fixflo,0.018692 , 5.204582 , 0.00359145
fibc,nothing,0.018987 , 5.198277 , 0.00365256
fibfp,fixflo,0.010283 , 4.197702 , 0.00244967
fibfp,nothing,0.011357 , 5.139503 , 0.00220975
gcbench,fixflo,0.036894 , 5.338955 , 0.00691034
gcbench,nothing,0.041147 , 5.277261 , 0.00779704
gcold,nothing,0.240618 , 10.822689 , 0.0222327
graphs,fixflo,1.14156 , 6.286389 , 0.181593
graphs,nothing,1.14194 , 5.903359 , 0.193438
lattice,fixflo,0.346112 , 3.949659 , 0.0876309
lattice,nothing,0.338708 , 3.927345 , 0.0862435
matrix,fixflo,0.761302 , 5.593172 , 0.136113
matrix,nothing,0.796792 , 5.547840 , 0.143622
maze,nothing,1.19362 , 3.828515 , 0.311772
mazefun,fixflo,0.305545 , 3.913792 , 0.0780688
mazefun,nothing,0.349037 , 4.042753 , 0.0863365
mbrot,fixflo,0.029266 , 5.176407 , 0.00565373
mbrot,nothing,0.037254 , 5.245407 , 0.00710221
nboyer,fixflo,0.374443 , 4.672477 , 0.080138
nboyer,nothing,0.373299 , 4.661841 , 0.0800754
nqueens,fixflo,0.062021 , 5.257840 , 0.0117959
nqueens,nothing,0.065179 , 5.535854 , 0.011774
nucleic,nothing,5.64177 , 12.161445 , 0.463906
paraffins,fixflo,0.33518 , 4.191048 , 0.0799752
